day_total,day_nm,diary_index
123.0,1,99
44.0,2,99
63.0,3,99
8.0,4,99
282.0,5,99
118.0,6,99
208.0,7,99
105.94,1,100
513.05,2,100
4.0,3,100
43.25,4,100
40.0,5,100
116.35,6,100
79.55,7,100
10.0,1,101
112.84,2,101
14.5,3,101
6.0,4,101
182.83,5,101
7.0,6,101
40.25,7,101
3.0,1,102
164.0,2,102
48.0,3,102
69.66,4,102
75.0,5,102
206.06,6,102
51.6,7,102
20.86,1,103
95.9,2,103
35.19,3,103
36.67,4,103
2.22,5,103
0.0,6,103
40.4,7,103
26.39,1,104
10.0,2,104
55.95,3,104
415.0,4,104
51.67,5,104
34.4,6,104
47.43,7,104
57.33,1,105
29.1,2,105
10.82,3,105
0.0,4,105
0.0,5,105
8.45,6,105
101.19,7,105
43.0,1,106
160.0,2,106
24.0,3,106
122.0,4,106
0.0,5,106
316.37,6,106
6.5,7,106
40.5,1,107
77.87,2,107
110.88,3,107
124.39,4,107
0.0,5,107
167.84,6,107
229.82,7,107
4.2,1,108
58.08,2,108
6.1,3,108
0.0,4,108
29.76,5,108
165.15,6,108
50.0,7,108
700.0,1,109
234.57,2,109
21.0,3,109
114.79,4,109
98.91,5,109
337.91,6,109
112.99,7,109
0.0,1,110
49.12,2,110
0.0,3,110
1.0,4,110
365.17,5,110
70.14,6,110
144.63,7,110
128.61,1,111
785.67,2,111
55.76,3,111
121.0,4,111
20.5,5,111
0.0,6,111
0.0,7,111
152.41,1,112
33.13,2,112
14.16,3,112
25.0,4,112
9.28,5,112
561.91,6,112
0.0,7,112
9.02,1,113
56.62,2,113
97.45,3,113
33.53,4,113
66.09,5,113
37.0,6,113
54.0,7,113
44.74,1,114
115.14,2,114
7.32,3,114
3.62,4,114
3.0,5,114
17.81,6,114
48.43,7,114
198.84,1,115
0.0,2,115
98.44,3,115
190.5,4,115
0.0,5,115
20.0,6,115
75.0,7,115
102.43,1,116
82.27,2,116
6.66,3,116
12.36,4,116
120.8,5,116
77.97,6,116
94.68,7,116
180.75,1,117
99.64,2,117
112.03,3,117
51.85,4,117
59.51,5,117
521.76,6,117
27.46,7,117
86.0,1,118
40.0,2,118
51.0,3,118
0.0,4,118
0.0,5,118
0.0,6,118
43.0,7,118
9.66,1,119
30.19,2,119
42.31,3,119
19.98,4,119
114.96,5,119
8.25,6,119
110.22,7,119
35.76,1,120
17.82,2,120
0.0,3,120
0.0,4,120
0.0,5,120
10.0,6,120
42.53,7,120
57.11,1,121
231.46,2,121
6.23,3,121
38.53,4,121
0.0,5,121
4.0,6,121
12.68,7,121
126.0,1,122
180.0,2,122
142.0,3,122
0.0,4,122
29.5,5,122
96.0,6,122
81.0,7,122
27.7,1,123
20.29,2,123
86.3,3,123
0.0,4,123
2.6,5,123
0.0,6,123
53.89,7,123
89.75,1,124
46.5,2,124
69.3,3,124
24.0,4,124
193.0,5,124
156.5,6,124
75.7,7,124
33.43,1,125
0.0,2,125
1.87,3,125
0.0,4,125
26.2,5,125
7.5,6,125
18.25,7,125
56.0,1,126
80.5,2,126
0.0,3,126
20.0,4,126
30.0,5,126
86.0,6,126
0.0,7,126
56.45,1,127
3.15,2,127
41.01,3,127
444.47,4,127
9.63,5,127
132.41,6,127
5.93,7,127
441.4,1,128
0.0,2,128
34.5,3,128
69.78,4,128
54.24,5,128
126.0,6,128
0.0,7,128
480.8,1,129
77.23,2,129
163.29,3,129
70.09,4,129
29.99,5,129
18.0,6,129
0.0,7,129
205.0,1,130
0.0,2,130
0.0,3,130
0.0,4,130
70.0,5,130
241.63,6,130
179.07,7,130
174.0,1,131
33.64,2,131
173.74,3,131
193.56,4,131
150.22,5,131
23.69,6,131
66.34,7,131
142.87,1,132
94.56,2,132
58.46,3,132
40.0,4,132
21.53,5,132
42.3,6,132
46.81,7,132
150.0,1,133
707.4,2,133
820.0,3,133
2.0,4,133
1.0,5,133
230.0,6,133
200.0,7,133
1.0,1,134
111.76,2,134
37.45,3,134
35.36,4,134
33.37,5,134
82.3,6,134
193.47,7,134
18.36,1,135
3.12,2,135
0.0,3,135
34.37,4,135
62.14,5,135
91.11,6,135
19.03,7,135
44.23,1,136
272.14,2,136
77.34,3,136
65.41,4,136
18.44,5,136
101.75,6,136
418.21,7,136
0.0,1,137
102.99,2,137
52.14,3,137
544.44,4,137
178.71,5,137
0.0,6,137
59.67,7,137
86.6,1,138
106.91,2,138
20.1,3,138
55.64,4,138
183.35,5,138
137.96,6,138
29.46,7,138
72.63,1,139
4.0,2,139
10.63,3,139
71.5,4,139
224.0,5,139
38.0,6,139
13.0,7,139
31.77,1,140
549.82,2,140
21.97,3,140
85.76,4,140
0.0,5,140
694.09,6,140
392.09,7,140
40.26,1,141
24.88,2,141
34.57,3,141
125.2,4,141
1.5,5,141
26.88,6,141
80.84,7,141
285.49,1,142
93.25,2,142
183.44,3,142
193.6,4,142
24.68,5,142
107.71,6,142
87.76,7,142
17.47,1,143
99.15,2,143
207.81,3,143
102.03,4,143
32.86,5,143
0.0,6,143
18.7,7,143
0.0,1,144
5.56,2,144
41.52,3,144
8.53,4,144
23.3,5,144
20.7,6,144
49.01,7,144
153.62,1,145
17.78,2,145
109.44,3,145
36.3,4,145
18.32,5,145
7.67,6,145
11.0,7,145
36.55,1,146
63.19,2,146
272.0,3,146
78.25,4,146
71.6,5,146
172.11,6,146
139.0,7,146
7.0,1,147
60.5,2,147
0.0,3,147
34.0,4,147
15.0,5,147
0.0,6,147
25.59,7,147
79.91,1,148
89.78,2,148
54.88,3,148
7.21,4,148
27.0,5,148
52.61,6,148
42.44,7,148
49.06,1,149
20.89,2,149
2.0,3,149
393.95,4,149
1.0,5,149
153.28,6,149
191.82,7,149
37.25,1,150
84.53,2,150
13.89,3,150
24.52,4,150
118.24,5,150
0.0,6,150
0.0,7,150
140.0,1,151
14.25,2,151
19.0,3,151
725.0,4,151
127.0,5,151
38.0,6,151
163.0,7,151
348.41,1,152
227.98,2,152
125.03,3,152
0.0,4,152
0.0,5,152
0.0,6,152
284.46,7,152
58.0,1,153
9.5,2,153
137.14,3,153
2.0,4,153
53.0,5,153
3.0,6,153
51.0,7,153
713.0,1,154
40.78,2,154
0.0,3,154
32.17,4,154
74.0,5,154
0.0,6,154
0.0,7,154
84.57,1,155
552.67,2,155
59.69,3,155
26.51,4,155
4.08,5,155
87.53,6,155
96.27,7,155
312.26,1,156
22.09,2,156
0.0,3,156
65.38,4,156
1.63,5,156
299.05,6,156
19.77,7,156
1.0,1,157
0.0,2,157
750.0,3,157
1.0,4,157
7.0,5,157
0.0,6,157
30.0,7,157
5.0,1,158
20.0,2,158
45.99,3,158
73.56,4,158
67.68,5,158
27.81,6,158
0.0,7,158
0.0,1,159
35.0,2,159
20.67,3,159
21.83,4,159
15.01,5,159
56.12,6,159
25.79,7,159
90.97,1,160
19.49,2,160
0.0,3,160
5.0,4,160
26.2,5,160
0.0,6,160
46.0,7,160
10.0,1,161
0.0,2,161
0.0,3,161
0.86,4,161
110.63,5,161
250.0,6,161
22.35,7,161
12.59,1,162
50.04,2,162
5.0,3,162
24.93,4,162
19.23,5,162
39.0,6,162
7.84,7,162
68.29,1,163
196.75,2,163
44.35,3,163
804.0,4,163
410.0,5,163
313.29,6,163
58.0,7,163
281.76,1,164
29.42,2,164
7.1,3,164
0.0,4,164
10.76,5,164
3.22,6,164
49.62,7,164
18.08,1,165
15.0,2,165
52.21,3,165
12.0,4,165
0.0,5,165
33.62,6,165
33.63,7,165
135.91,1,166
29.37,2,166
146.96,3,166
9.5,4,166
15.5,5,166
27.0,6,166
17.98,7,166
9.13,1,167
0.0,2,167
1.73,3,167
8.57,4,167
7.5,5,167
33.15,6,167
47.66,7,167
26.25,1,168
31.08,2,168
130.72,3,168
103.66,4,168
117.51,5,168
253.0,6,168
27.0,7,168
252.69,1,169
25.64,2,169
94.74,3,169
133.6,4,169
99.29,5,169
4.29,6,169
98.99,7,169
751.14,1,170
107.28,2,170
122.76,3,170
115.73,4,170
109.83,5,170
0.0,6,170
193.74,7,170
242.06,1,171
30.17,2,171
96.78,3,171
315.71,4,171
95.75,5,171
41.9,6,171
607.63,7,171
45.0,1,172
78.07,2,172
227.91,3,172
99.66,4,172
58.97,5,172
1.5,6,172
73.11,7,172
53.89,1,173
20.0,2,173
25.0,3,173
85.51,4,173
44.0,5,173
17.01,6,173
60.52,7,173
138.89,1,174
110.89,2,174
3.3,3,174
0.0,4,174
65.69,5,174
47.08,6,174
0.0,7,174
82.0,1,175
0.0,2,175
69.0,3,175
11.0,4,175
72.0,5,175
17.0,6,175
28.0,7,175
34.43,1,176
0.0,2,176
0.0,3,176
3.73,4,176
35.03,5,176
126.06,6,176
155.18,7,176
65.29,1,177
22.5,2,177
18.75,3,177
36.61,4,177
54.27,5,177
99.33,6,177
53.88,7,177
57.99,1,178
237.34,2,178
0.0,3,178
35.39,4,178
37.5,5,178
0.0,6,178
0.0,7,178
13.45,1,179
37.86,2,179
91.99,3,179
64.75,4,179
207.49,5,179
111.58,6,179
2.57,7,179
158.43,1,180
276.34,2,180
307.94,3,180
14.0,4,180
141.49,5,180
8.49,6,180
74.65,7,180
293.5,1,181
539.15,2,181
2.0,3,181
1.0,4,181
782.15,5,181
354.55,6,181
558.48,7,181
63.22,1,182
37.5,2,182
27.44,3,182
5.29,4,182
270.94,5,182
152.0,6,182
0.0,7,182
119.02,1,183
169.95,2,183
319.97,3,183
178.34,4,183
75.95,5,183
157.04,6,183
62.64,7,183
78.0,1,184
103.0,2,184
18.0,3,184
348.0,4,184
141.0,5,184
35.0,6,184
31.0,7,184
306.75,1,185
7.0,2,185
413.25,3,185
229.6,4,185
145.47,5,185
0.0,6,185
0.0,7,185
303.2,1,186
195.21,2,186
15.0,3,186
173.0,4,186
210.42,5,186
98.6,6,186
263.0,7,186
40.0,1,187
30.0,2,187
56.0,3,187
51.0,4,187
0.0,5,187
314.0,6,187
44.0,7,187
50.0,1,188
66.0,2,188
6.0,3,188
119.0,4,188
512.0,5,188
112.0,6,188
0.0,7,188
43.43,1,189
0.0,2,189
117.9,3,189
0.0,4,189
0.0,5,189
177.81,6,189
64.0,7,189
6.0,1,190
25.62,2,190
306.89,3,190
118.46,4,190
61.53,5,190
0.0,6,190
110.9,7,190
229.0,1,191
0.0,2,191
8.0,3,191
20.0,4,191
41.0,5,191
120.0,6,191
28.0,7,191
13.26,1,192
26.88,2,192
17.54,3,192
27.12,4,192
64.26,5,192
114.06,6,192
10.48,7,192
231.77,1,193
57.93,2,193
56.97,3,193
103.31,4,193
156.91,5,193
16.35,6,193
3.0,7,193
54.73,1,194
179.72,2,194
10.59,3,194
83.88,4,194
86.0,5,194
231.56,6,194
55.93,7,194
0.0,1,195
16.0,2,195
23.0,3,195
11.0,4,195
56.0,5,195
44.0,6,195
18.0,7,195
17.23,1,196
385.06,2,196
34.98,3,196
181.75,4,196
108.39,5,196
6.0,6,196
0.0,7,196
39.0,1,197
48.0,2,197
25.0,3,197
0.0,4,197
970.0,5,197
3.0,6,197
20.0,7,197
107.0,1,198
55.0,2,198
100.0,3,198
54.85,4,198
10.0,5,198
20.0,6,198
64.75,7,198
62.0,1,199
88.0,2,199
31.0,3,199
89.0,4,199
15.0,5,199
181.0,6,199
21.0,7,199
270.0,1,200
90.0,2,200
227.0,3,200
29.0,4,200
14.0,5,200
133.0,6,200
439.0,7,200
29.3,1,201
42.38,2,201
251.45,3,201
27.75,4,201
50.05,5,201
17.9,6,201
218.6,7,201
305.87,1,202
48.0,2,202
14.0,3,202
299.0,4,202
