index,salary,location,url
269,180000.0,Alaska,https://www.refinery29.com/money-diary-alaska-entrepreneur-salary
270,41000.0,"Grand Rapids, MI",https://www.refinery29.com/money-diary-grand-rapids-michigan-english-teacher-salary
271,57000.0,Indiana,https://www.refinery29.com/money-diary-indiana-analyst-salary
272,260000.0,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-ca-associate-salary
273,190371.0,"Fort Worth, TX",https://www.refinery29.com/money-diary-fort-worth-tx-finance-manager-salary
274,244000.0,"Essex County, MA",https://www.refinery29.com/money-diary-essex-county-ma-marketing-communications-manager-salary
275,84000.0,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-interior-designer-salary
276,60000.0,"Montreal, Canada",https://www.refinery29.com/money-diary-montreal-canada-managing-editor-salary
277,18000.0,"South Tyrol, Italy",https://www.refinery29.com/money-diary-south-tyrol-italy-researcher-salary
278,148000.0,"Houston, TX",https://www.refinery29.com/money-diary-houston-tx-business-analyst-salary
279,54000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-analyst-salary
280,92000.0,"Mexico City, Mexico",https://www.refinery29.com/money-diary-mexico-city-mexico-analyst-salary
281,50000.0,Wyoming,https://www.refinery29.com/money-diary-wyoming-education-program-specialist-salary
282,260000.0,"Berkeley, CA",https://www.refinery29.com/money-diary-berkeley-ca-software-engineer-salary
283,60093.0,"Munich, Germany",https://www.refinery29.com/money-diary-munich-office-manager-salary
284,56084.0,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-health-promotion-officer-salary
285,35525.0,"Norton Shores, MI",https://www.refinery29.com/money-diary-norton-shores-mi-client-services-advisor-support-salary
286,90900.0,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-project-manager-travel-salary
287,135000.0,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-data-scientist-salary
288,60000.0,"Portland, OR",https://www.refinery29.com/money-diary-portland-or-graphic-designer-salary
289,99600.0,New York City,https://www.refinery29.com/money-diary-nyc-senior-marketing-analyst-salary
290,210000.0,"Orange County, CA",https://www.refinery29.com/money-diary-orange-county-ca-sr-marketing-manager-salary
